party,constituency,name,margin,state,votes,color
Bharatiya Janata Party,Pipra,SHYAMBABU PRASAD YADAV,3930,Bihar,65552,#FB7B0D
Rashtriya Janata Dal,Pipra,YADUBANSH KUMAR YADAV,36369,Bihar,85944,#21610B
Rashtriya Janata Dal,Pirpainti (SC),RAM VILASH PASWAN,5144,Bihar,80058,#21610B
Bharatiya Janata Party,Pranpur,BINOD KUMAR SINGH,8101,Bihar,47924,#FB7B0D
Bharatiya Janata Party,Purnia,VIJAY KUMAR KHEMKA,32815,Bihar,92020,#FB7B0D
Janata Dal (United),Rafiganj,ASHOK KUMAR SINGH,9525,Bihar,62897,#594671
Rashtriya Janata Dal,Raghopur,TEJASHWI PRASAD YADAV,22733,Bihar,91236,#21610B
Rashtriya Janata Dal,Raghunathpur,HARISHANKAR YADAV,10622,Bihar,61042,#21610B
Rashtriya Janata Dal,Raja Pakar (SC),SHIVCHANDRA RAM,15155,Bihar,61251,#21610B
Rashtriya Janata Dal,Rajauli (SC),PRAKASH VEER,4615,Bihar,70549,#21610B
Janata Dal (United),Rajgir (SC),RAVI JYOTI KUMAR,5390,Bihar,62009,#594671
Bharatiya Janata Party,Rajnagar (SC),RAM PRIT PASWAN,6242,Bihar,71614,#FB7B0D
Janata Dal (United),Rajpur (SC),SANTOSH KUMAR NIRALA,32788,Bihar,84184,#594671
Bharatiya Janata Party,Ramgarh,ASHOK KUMAR SINGH,8011,Bihar,57501,#FB7B0D
Bharatiya Janata Party,Ramnagar (SC),BHAGIRATHI DEVI,17988,Bihar,82166,#FB7B0D
Janata Dal (United),Raniganj (SC),ACHMIT RISHIDEV,14930,Bihar,77717,#594671
Bharatiya Janata Party,Raxaul,AJAY KUMAR SINGH,3169,Bihar,64731,#FB7B0D
Indian National Congress,Riga,AMIT KUMAR,22856,Bihar,79217,#019733
Indian National Congress,Rosera (SC),DR. ASHOK KUMAR,34361,Bihar,85506,#019733
Rashtriya Janata Dal,Runnisaidpur,MANGITA DEVI,14110,Bihar,55699,#21610B
Janata Dal (United),Rupauli,BIMA BHARTI,9672,Bihar,50945,#594671
Rashtriya Janata Dal,Saharsa,ARUN KUMAR,39206,Bihar,102850,#21610B
Rashtriya Janata Dal,Sahebganj,RAMVICHAR RAI,10660,Bihar,70583,#21610B
Rashtriya Janata Dal,Sahebpur Kamal,SHREENARAYAN YADAV,45474,Bihar,78225,#21610B
Rashtriya Janata Dal,Sakra (SC),LAL BABU RAM,13012,Bihar,75010,#21610B
Rashtriya Janata Dal,Samastipur,AKHTARUL ISLAM SHAHEEN,31080,Bihar,82508,#21610B
Rashtriya Janata Dal,Sandesh,ARUN KUMAR,25427,Bihar,74306,#21610B
Janata Dal (United),Sarairanjan,VIJAY KUMAR CHOUDHARY,34044,Bihar,81055,#594671
Rashtriya Janata Dal,Sasaram,ASHOK KUMAR,19612,Bihar,82766,#21610B
Rashtriya Janata Dal,Shahpur,RAHUL TIWARY,14570,Bihar,69315,#21610B
Janata Dal (United),Sheikhpura,RANDHIR KUMAR SONI,13101,Bihar,41755,#594671
Janata Dal (United),Sheohar,SHARFUDDIN,461,Bihar,44576,#594671
Janata Dal (United),Sherghati,VINOD PRASAD YADAV,4834,Bihar,44579,#594671
Indian National Congress,Sikandra (SC),SUDHIR KUMAR ALIAS BANTY CHOUDHARY,7990,Bihar,59092,#019733
Janata Dal (United),Sikta,KHURSHID URF FIROJ AHMAD,2835,Bihar,69870,#594671
Bharatiya Janata Party,Sikti,VIJAY KUMAR MANDAL,8106,Bihar,76995,#FB7B0D
Janata Dal (United),Simri Bakhtiarpur,DINESH CHANDRA YADAV,37806,Bihar,78514,#594671
Janata Dal (United),Singheshwar (SC),RAMESH RISHIDEV,50200,Bihar,83073,#594671
Rashtriya Janata Dal,Sitamarhi,SUNIL KUMAR,14722,Bihar,81557,#21610B
Bharatiya Janata Party,Siwan,VYAS DEO PRASAD,3534,Bihar,55156,#FB7B0D
Janata Dal (United),Sonbarsha (SC),RATNESH SADA,53763,Bihar,88789,#594671
Rashtriya Janata Dal,Sonepur,DR. RAMANUJ PRASAD,36396,Bihar,86082,#21610B
Bharatiya Janata Party,Sugauli,RAMCHANDRA SAHNI,7756,Bihar,62384,#FB7B0D
Janata Dal (United),Sultanganj,SUBODH ROY,14033,Bihar,63345,#594671
Janata Dal (United),Supaul,BIJENDRA PRASAD YADAV,37397,Bihar,82295,#594671
Rashtriya Janata Dal,Sursand,SYED ABU DOJANA,23234,Bihar,52857,#21610B
Rashtriya Janata Dal,Suryagarha,PRAHLAD YADAV,30030,Bihar,82490,#21610B
Rashtriya Janata Dal,Taraiya,MUDRIKA PRASAD ROY,20440,Bihar,69012,#21610B
Janata Dal (United),Tarapur,M L CHOUDHARY,11947,Bihar,66411,#594671
Communist Party of India (Marxist-Leninist) (Liberation),Tarari,SUDAMA PRASAD,272,Bihar,44050,#DE0000
Rashtriya Janata Dal,Teghra,BIRENDRA KUMAR,15611,Bihar,68975,#21610B
Janata Dal (United),Thakurganj,NAUSHAD ALAM (TATPAUWA),8087,Bihar,74239,#594671
Janata Dal (United),Tikari,ABHAY KUMAR SINHA,31813,Bihar,86975,#594671
Janata Dal (United),Triveniganj (SC),VEENA BHARTI,52400,Bihar,89869,#594671
Rashtriya Janata Dal,Ujiarpur,ALOK KUMAR MEHTA,47460,Bihar,85466,#21610B
Janata Dal (United),Vaishali,RAJ KISHORE SINGH,31061,Bihar,79286,#594671
Independent,Valmiki Nagar,DHIRENDRA PRATAP SINGH ALIAS RINKU SINGH,33580,Bihar,66860,#95b3d7
Janata Dal (United),Warisnagar,ASHOK KUMAR,58573,Bihar,92687,#594671
Bharatiya Janata Party,Warsaliganj,ARUNA DEVI,19527,Bihar,85912,#FB7B0D
Indian National Congress,Wazirganj,AWADHESH KUMAR SINGH,12759,Bihar,80107,#019733
Janata Dal (United),Ziradei,RAMESH SINGH KUSHWAHA,6091,Bihar,40760,#594671
